 15.1 1.2965e+00  13 1.02695e-01  
 15.2 1.3112e+00  13 1.13860e-01  
 15.3 1.3181e+00  13 1.16847e-01  
 15.4 1.3250e+00  13 1.18750e-01  
 15.5 1.3319e+00  13 1.18735e-01  
 15.6 1.3388e+00  13 1.20338e-01  
 15.7 1.3456e+00  13 1.21661e-01  
 15.8 1.3525e+00  13 1.22105e-01  
 15.9 1.3593e+00  13 1.23317e-01  
 16.0 1.3662e+00  13 1.24064e-01  
 16.1 1.3730e+00  13 1.25317e-01  
 16.2 1.3798e+00  13 1.26410e-01  
 16.3 1.3866e+00  13 1.27007e-01  
 16.4 1.3934e+00  13 1.28286e-01  
 16.5 1.4001e+00  13 1.29483e-01  
 16.6 1.4069e+00  13 1.30226e-01  
 16.7 1.4136e+00  13 1.31731e-01  
 16.8 1.4204e+00  13 1.32354e-01  
 16.9 1.4271e+00  13 1.33212e-01  
 17.0 1.4444e+00  13 1.35284e-01  
 17.1 1.4513e+00  13 1.35578e-01  
 17.2 1.4582e+00  13 1.36981e-01  
 17.3 1.4650e+00  13 1.36901e-01  
 17.4 1.4718e+00  13 1.38395e-01  
 17.5 1.4785e+00  13 1.39409e-01  
 17.6 1.4853e+00  13 1.39880e-01  
 17.7 1.4921e+00  13 1.41034e-01  
 17.8 1.4988e+00  13 1.41150e-01  
 17.9 1.5056e+00  13 1.41962e-01  
 18.0 1.5123e+00  13 1.42460e-01  
 18.1 1.5191e+00  13 1.43711e-01  
 18.2 1.5258e+00  13 1.44403e-01  
 18.3 1.5327e+00  13 1.45252e-01  
 18.4 1.5394e+00  13 1.45802e-01  
 18.5 1.5461e+00  13 1.46343e-01  
 18.6 1.5526e+00  13 1.46766e-01  
 18.7 1.5593e+00  13 1.47401e-01  
 18.8 1.5659e+00  13 1.48054e-01  
 18.9 1.5725e+00  13 1.48680e-01  
 19.0 1.5791e+00  13 1.47543e-01  
 19.1 1.5857e+00  13 1.47730e-01  
 19.2 1.5923e+00  13 1.48353e-01  
 19.3 1.6133e+00  13 1.50642e-01  
 19.4 1.6200e+00  13 1.50623e-01  
 19.5 1.6268e+00  13 1.52026e-01  
 19.6 1.6335e+00  13 1.52311e-01  
 19.7 1.6402e+00  13 1.52464e-01  
 19.8 1.6469e+00  13 1.51637e-01  
 19.9 1.6536e+00  13 1.52819e-01  
 20.0 1.6604e+00  13 1.52777e-01  
 20.1 1.6672e+00  13 1.52716e-01  
 20.2 1.6739e+00  13 1.53258e-01  
 20.3 1.6806e+00  13 1.53821e-01  
 20.4 1.6873e+00  13 1.53811e-01  
 20.5 1.6939e+00  13 1.53919e-01  
 20.6 1.7006e+00  13 1.54971e-01  
 20.7 1.7072e+00  13 1.55191e-01  
 20.8 1.7138e+00  13 1.55950e-01  
 20.9 1.7204e+00  13 1.55460e-01  
 21.0 1.7270e+00  13 1.56239e-01  
 21.1 1.7336e+00  13 1.56313e-01  
 21.2 1.7401e+00  13 1.57103e-01  
 21.3 1.7466e+00  13 1.57126e-01  
 21.4 1.7554e+00  13 1.57892e-01  
 21.5 1.7597e+00  13 1.58343e-01  
