 15.1 1.4411e+00  13 4.31094e-02  
 15.2 1.4485e+00  13 4.34558e-02  
 15.3 1.4559e+00  13 4.37977e-02  
 15.4 1.4633e+00  13 4.41352e-02  
 15.5 1.4707e+00  13 4.44686e-02  
 15.6 1.4781e+00  13 4.47980e-02  
 15.7 1.4855e+00  13 4.51234e-02  
 15.8 1.4929e+00  13 4.54449e-02  
 15.9 1.5003e+00  13 4.57625e-02  
 16.0 1.5077e+00  13 4.60764e-02  
 16.1 1.5151e+00  13 4.63866e-02  
 16.2 1.5225e+00  13 4.66931e-02  
 16.3 1.5299e+00  13 4.69961e-02  
 16.4 1.5373e+00  13 4.72955e-02  
 16.5 1.5447e+00  13 4.75915e-02  
 16.6 1.5521e+00  13 4.78841e-02  
 16.7 1.5595e+00  13 4.81734e-02  
 16.8 1.5668e+00  13 4.84595e-02  
 16.9 1.5742e+00  13 4.87423e-02  
 17.0 1.5816e+00  13 4.90220e-02  
 17.1 1.5890e+00  13 4.92985e-02  
 17.2 1.6000e+00  13 4.98616e-02  
 17.3 1.6116e+00  13 5.04677e-02  
 17.4 1.6234e+00  13 5.10751e-02  
 17.5 1.6352e+00  13 5.16839e-02  
 17.6 1.6471e+00  13 5.22939e-02  
 17.7 1.6591e+00  13 5.29054e-02  
 17.8 1.6712e+00  13 5.35184e-02  
 17.9 1.6834e+00  13 5.41329e-02  
 18.0 1.6957e+00  13 5.47491e-02  
 18.1 1.7080e+00  13 5.53669e-02  
 18.2 1.7205e+00  13 5.59864e-02  
 18.3 1.7331e+00  13 5.66077e-02  
 18.4 1.7458e+00  13 5.72308e-02  
 18.5 1.7585e+00  13 5.78557e-02  
 18.6 1.7714e+00  13 5.84826e-02  
 18.7 1.7843e+00  13 5.91115e-02  
 18.8 1.7974e+00  13 5.97424e-02  
 18.9 1.8106e+00  13 6.03754e-02  
 19.0 1.8238e+00  13 6.10106e-02  
 19.1 1.8372e+00  13 6.16479e-02  
 19.2 1.8507e+00  13 6.22875e-02  
 19.3 1.8642e+00  13 6.29293e-02  
 19.4 1.8779e+00  13 6.35735e-02  
 19.5 1.8917e+00  13 6.42201e-02  
 19.6 1.9056e+00  13 6.48691e-02  
 19.7 1.9196e+00  13 6.55206e-02  
 19.8 1.7412e+01  14 1.00000e+00  
 19.9 1.7497e+01  14 1.00000e+00  
 20.0 1.7582e+01  14 1.00000e+00  
 20.1 1.7666e+01  14 1.00000e+00  
 20.2 1.7751e+01  14 1.00000e+00  
 20.3 1.7858e+01  14 1.00000e+00  
 20.4 1.7943e+01  14 1.00000e+00  
 20.5 1.8028e+01  14 1.00000e+00  
 20.6 1.8113e+01  14 1.00000e+00  
 20.7 1.8198e+01  14 1.00000e+00  
 20.8 1.8282e+01  14 1.00000e+00  
 20.9 1.8367e+01  14 1.00000e+00  
 21.0 1.8452e+01  14 1.00000e+00  
 21.1 1.8536e+01  14 1.00000e+00  
 21.2 1.8621e+01  14 1.00000e+00  
 21.3 1.8705e+01  14 1.00000e+00  
 21.4 1.8790e+01  14 1.00000e+00  
 21.5 1.8874e+01  14 1.00000e+00  
 21.6 1.8959e+01  14 1.00000e+00  
 21.7 1.9043e+01  14 1.00000e+00  
 21.8 1.9128e+01  14 1.00000e+00  
 21.9 1.9212e+01  14 1.00000e+00  
 22.0 1.9296e+01  14 1.00000e+00  
 22.1 1.9381e+01  14 1.00000e+00  
 22.2 1.9465e+01  14 1.00000e+00  
 22.3 1.9549e+01  14 1.00000e+00  
 22.4 1.9633e+01  14 1.00000e+00  
 22.5 1.9717e+01  14 1.00000e+00  
 22.6 5.5425e+00  14 2.45619e-01  
